ProductName,Stars,Rating,CurrentPrice,ImageURL 
MSI NVIDIA RTX 3060 GAMING 12 GB GDDR6,4.9,7,₹44891,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/a/f/4/geforce-rtx-3060-ti-gaming-x-12g-192-bit-l-pci-express-gen-4-original-imag4nyryterka6t.jpeg?q=70
Colorful NVIDIA Mainstream 4 GB DDR3,0,0,₹6399,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/r/t/q/mainstream-colorful-original-imagedphkgwvx9fy.jpeg?q=70
MSI AMD/ATI Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 ...,4.3,24,₹19880,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/j/m/a/radeon-rx-6500-xt-mech-2x-4g-oc-msi-original-imagb7fhhhyadz9h.jpeg?q=70
ASUS NVIDIA GeForce GT 730 2 GB GDDR5,4.5,118,₹4699,https://rukminim1.flixcart.com/image/612/612/ks99aq80/graphics-card/p/9/g/geforce-gt-730-asus-original-imag5v72yeytvtjn.jpeg?q=70
MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5,0,0,₹21189,https://rukminim1.flixcart.com/image/612/612/k687wy80/graphics-card/4/g/j/msi-1050-ti-4gt-ocv1-original-imafhqq2uatgku98.jpeg?q=70
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3,4.1,110,₹6499,https://rukminim1.flixcart.com/image/612/612/jyrl4sw0/graphics-card/d/3/k/galax-geforce-gt-730-4gb-ddr3-original-imafgwgg2m2z8fzq.jpeg?q=70
MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6,0,0,₹37837,https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/graphics-card/p/s/d/geforce-rtx-3050-gaming-x-8g-msi-original-imagdefzefxhmkfu.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6,4.3,6,₹48431,https://rukminim1.flixcart.com/image/612/612/l1whaq80/graphics-card/f/m/k/geforce-rtx-3060-twin-x2-inno-3d-original-imagdd66zb6c9gtd.jpeg?q=70
Colorful NVIDIA GTX 1650 NB 4GD6-V GDDR6 6 GB GDDR6,0,0,₹22999,https://rukminim1.flixcart.com/image/612/612/l12h1u80/graphics-card/s/c/t/gtx-1650-nb-4gd6-v-gddr6-colorful-original-imagcpuwervcakxn.jpeg?q=70
MSI NVIDIA RTX 3060 Ti 8 GB GDDR6,0,0,₹70543,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/d/q/0/geforce-rtx-3060-ti-ventus-2x-ocv1-256-bit-l-pci-express-gen-4-original-imag4nyuytsgawk8.jpeg?q=70
GIGABYTE AMD/ATI GV-R66XTEAGLE-8GD 8 GB GDDR6,0,0,₹49347,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/l/m/1/gv-r66xteagle-8gd-gigabyte-original-imagc9y7zb5cjy9x.jpeg?q=70
ASUS NVIDIA GT 730 2GB GDDR5 Low Profile,4.2,6,₹4699,https://rukminim1.flixcart.com/image/612/612/kziqvm80/graphics-card/w/4/5/gt-730-2gb-gddr5-low-profile-graphics-card-gt730-sl-2gd5-brk-e-original-imagbgaydzphjzzw.jpeg?q=70
Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5,4.4,5,₹19170,https://rukminim1.flixcart.com/image/612/612/jezzukw0/graphics-card/4/7/g/inno3d-gtx-1050-ti-twin-x2-original-imaf3aahmdxhe7yw.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3060 Twin X2 OC 12 GB GDDR6 G...,3.3,3,₹42326,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/d/0/m/geforce-rtx-3060-twin-x2-oc-inno3d-original-imagcbxq9venacjm.jpeg?q=70
